286,1.0,925.0,977.0,1007.0,646.0,1669995402.962081
296,1.0,959.0,959.0,912.0,749.0,1669995403.4647932
306,1.0,831.0,950.0,989.0,781.0,1669995403.893945
311,1.0,750.0,943.0,1042.0,847.0,1669995404.109668
316,1.0,656.0,948.0,1158.0,858.0,1669995404.334539
321,1.0,586.0,944.0,1204.0,917.0,1669995404.5517921
326,1.0,488.0,940.0,1286.0,938.0,1669995404.767659
331,1.0,369.0,945.0,1374.0,973.0,1669995404.982084
336,1.0,246.0,935.0,1468.0,1051.0,1669995405.2094982
341,1.0,128.0,921.0,1582.0,1117.0,1669995405.434797
346,1.0,1.0,937.0,1645.0,1153.0,1669995405.676764
351,1.0,0.0,939.0,1619.0,1174.0,1669995405.927844
1061,2.0,2322.0,913.0,1517.0,1090.0,1669995428.244313
1071,2.0,2279.0,925.0,1462.0,985.0,1669995428.658762
1081,2.0,2170.0,922.0,1407.0,914.0,1669995429.1161568
1086,2.0,2102.0,934.0,1336.0,846.0,1669995429.374398
1091,2.0,2068.0,943.0,1315.0,801.0,1669995429.596011
1096,2.0,1994.0,949.0,1338.0,776.0,1669995429.812434
